genotype,sleep_fraction_day,sleep_fraction_night,latency_to_longest_bout_night,mean_bout_length_night,n_bouts_night,velocity_if_awake,total_distance
control,0.895969195,0.798287819,-0.493520837,1.202651489,-0.427110406,1.137229554,0.310375733
Rab39[KO-WS/y],-1.297440141,-1.802700602,2.089740404,-1.289774113,-0.706340536,0.233776633,0.933452981
iPLA2-VIA[KO-WS],-0.522697149,-1.531483545,0.682072276,-0.984395841,-0.583479279,0.731003342,0.364101319
omi[KO-WS],-1.083768059,0.139617824,0.971214918,-0.647581571,0.566948855,-1.064254437,0.195249477
Gdh[KO-WS/+],-0.114249154,0.732589277,0.069546415,-0.108678738,0.645133292,0.543906323,0.653661294
Chchd2[KO-WS/y],-0.311932169,0.131194934,-1.39518934,-0.35567587,0.566948855,-0.261994067,-0.247812172
VAC14[KO-WS/+],-0.327921237,-0.249519692,-1.398993849,-0.441002152,0.321226341,-0.788340934,0.387824305
auxilin[KO-WS/+],0.843641338,0.61298424,-1.684331983,0.829910363,-0.590925416,-0.529171522,0.426199723
Rme-8[KO-WS/+],-0.673866513,-0.443246161,0.240749295,-0.225441018,-0.196280166,-0.911373604,0.38712657
Vps35[KO-WS/+],-0.614270898,-0.837437412,0.495651361,-0.809252421,0.164857469,-0.820373108,0.572026313
Vps13[KO-WS/+],-0.878817286,-0.257942582,0.514673904,-0.548782718,0.064334622,-0.939037755,0.499461886
Tango14[KO-WS/+],-1.476226986,-0.677402502,0.651636208,-0.755362137,0.257934179,-1.162534972,0.488298127
DJ-1a/b[KO-WS],-1.383199685,-1.77911651,0.145636584,-1.523298674,0.079226895,0.350985272,0.716457434
Synj[KO-WS/+],-1.399188752,-0.589804447,-0.314708939,-0.247895303,-0.427110406,-1.29430369,0.564351229
nutcracker[KO-WS],0.374144177,-0.055793223,-1.300076629,2.320874867,-2.188121758,-0.671860299,-0.121522158
VhaM8.9[KO-WS/+],-0.444205363,-0.365755574,-0.364167549,-0.176041592,-0.065972772,0.220672562,0.303398384
eIF4G[KO-WS/+],0.115411996,0.340082605,0.632613666,0.344897813,0.038273143,1.001820817,0.325028165
loqs[KO-WS/+],0.464264375,-0.104645985,-0.082633924,0.861346361,-1.261077727,0.964692614,0.558071616
Coq2[KO-WS/+],1.51663572,0.533809074,-1.117460223,1.651737183,-1.335539095,0.747747433,0.199435887
Punch[KO-WS/+],0.430832689,1.089719812,1.264162069,0.955654357,-0.088311182,0.26071278,0.038259129
Pink1[KO-WS/y],1.733214905,0.848825159,0.065741906,-0.409566153,1.7397154,-0.209577782,-1.392795111
Lrrk[KO-WS],0.308734356,0.59613846,0.415756684,-0.432020438,1.196147414,1.401494994,-0.129197242
gba[KO],1.310231395,-1.066540019,1.758748168,-0.445493009,-0.520187116,2.004282277,0.082216427
anne[KO-WS/+],1.715772286,2.209964177,-0.737009378,1.898734315,-0.11809573,1.05205309,-0.557606459
park1/?21,0.818930961,1.728174871,-1.109851206,-0.665544999,2.867805124,-1.99755552,-2.039595346
