id,genotype,sleep_fraction_day,sleep_fraction_night,latency_to_longest_bout_night,mean_bout_length_night,n_bouts_night,morning_anticipation,velocity_if_awake,total_distance
2020-03-12_16-00-01_102bbd|01,w1118,0.268862309392892,0.334297380061245,267.375,9.68746436403509,25,44.4172768375486,4.90117249038854,73.3414065249775
2020-03-12_16-00-01_102bbd|02,w1118,0.452582053171589,0.681292517006803,298.458333333333,20.6207086550837,28.25,40.597972764142,6.32770030534262,63.496515963932
2020-03-12_16-00-01_102bbd|03,w1118,0.332464146023468,0.535260770975057,168.083333333333,15.2452276746242,25.25,53.7506411324127,6.58288421993326,73.1825891286566
2020-03-12_16-00-01_102bbd|04,w1118,0.297772235134063,0.443392482567039,137.791666666667,14.701703510914,22.75,50.6254272400376,6.69681830105502,82.0850944398866
2020-03-12_16-00-01_102bbd|05,w1118,0.280918727915194,0.396360131534188,211.166666666667,13.5157076719577,21.75,59.9821386678369,4.86095435211946,61.6185467546866
2020-03-12_16-00-01_102bbd|06,w1118,0.371506321220024,0.516559677327728,405.083333333333,15.4452696903677,24.75,29.3283932454817,5.91794492667055,60.1492902995825
2020-03-12_16-00-01_102bbd|08,w1118,0.359129590496316,0.614172335600907,401.5,17.1489969135802,26,68.4738727854898,5.4138105858981,59.5730369786949
2020-03-12_16-00-01_102bbd|10,w1118,0.198911626325038,0.433446712018141,240.416666666667,12.9063701923077,25.75,37.5707885402881,4.18424461184194,58.6717592872713
2020-03-12_16-00-01_102bbd|11,Rab39 KO,0.204750297602177,0.345068027210884,479.916666666667,9.02390873015873,28,36.4339308204456,7.29035024638531,89.1441163659299
2020-03-12_16-00-01_102bbd|12,Rab39 KO,0.261323054248625,0.442630385487528,431.791666666667,11.2799415861916,28.5,59.0000040972786,5.40214886659387,68.639340598089
2020-03-12_16-00-01_102bbd|13,Rab39 KO,0.289042571282807,0.30827664399093,326.875,10.1866525689223,22.25,14.3654600081141,7.55663962238869,109.458423773241
2020-03-12_16-00-01_102bbd|14,Rab39 KO,0.319029533473159,0.414909297052154,307.708333333333,10.1983361391695,28.75,62.0008728364761,5.92591468960379,70.6611725345914
2020-03-12_16-00-01_102bbd|15,Rab39 KO,0.273113769060711,0.410544217687075,366.75,11.1479978354978,27.25,45.6578963838342,6.18119567172289,82.7027554449515
2020-03-12_16-00-01_102bbd|16,Rab39 KO,0.203106399863953,0.595748299319728,300.791666666667,13.1155451574569,32.75,56.0725638817607,4.55789445631844,60.7111162479278
2020-03-12_16-00-01_102bbd|17,Rab39 KO,0.372938042061108,0.472732426303855,331.833333333333,9.96156935891509,34.25,46.630385561372,5.79175548501492,63.3603418424568
2020-03-12_16-00-01_102bbd|18,Rab39 KO,0.264950966498498,0.484750566893424,144.791666666667,10.5107034542518,33.75,31.3957392066386,6.21519109013863,71.1589494697004
2020-03-12_16-00-01_102bbd|19,Rab39 KO,0.253046879428604,0.416780045351474,457.5,11.2968733998976,27.5,47.1523203775504,4.35495019251921,58.7213755752791
2020-03-12_16-00-14_103bbd|01,w1118,0.491582109857718,0.740136054421769,348.833333333333,19.1767881681977,28.75,38.3571812400507,7.87806213089667,67.5901458156934
2020-03-12_16-00-14_103bbd|03,w1118,0.486849563541549,0.639399092970522,242.625,16.5317424167999,28.75,59.4947318689914,8.60350786441132,85.6704268662128
2020-03-12_16-00-14_103bbd|08,w1118,0.550875800691571,0.759183673469388,164.541666666667,29.2352756892231,20,55.6188490294264,8.11370616155563,75.1153114909511
2020-03-12_16-00-14_103bbd|09,w1118,0.284119247336205,0.502551020408163,360.916666666667,12.27261061704,30,-13.3044900364393,5.0539404590152,59.4098465595415
2020-03-12_16-00-14_103bbd|11,iPla KO,0.333257764679211,0.405328798185941,472.958333333333,11.6550518925519,24.5,-3.71046932121598,5.53915081867567,61.0595536459796
